HDR,ROLLING SYSTEM DEMAND
VD,20200104153500,34596
VD,20200104154000,34796
VD,20200104154500,35151
VD,20200104155000,35247
VD,20200104155500,35390
VD,20200104160000,35520
VD,20200104160500,36031
VD,20200104161000,36175
VD,20200104161500,36398
VD,20200104162000,36709
VD,20200104162500,37243
VD,20200104163000,37559
VD,20200104163500,37911
VD,20200104164000,38309
VD,20200104164500,38602
VD,20200104165000,38699
VD,20200104165500,38734
VD,20200104170000,38928
VD,20200104170500,39111
VD,20200104171000,39127
VD,20200104171500,39161
VD,20200104172000,39119
VD,20200104172500,39201
VD,20200104173000,39275
VD,20200104173500,39390
VD,20200104174000,39396
VD,20200104174500,39379
VD,20200104175000,39380
VD,20200104175500,39319
VD,20200104180000,39265
VD,20200104180500,39361
VD,20200104181000,39206
VD,20200104181500,39042
VD,20200104182000,38893
VD,20200104182500,38794
VD,20200104183000,38682
VD,20200104183500,38588
VD,20200104184000,38559
VD,20200104184500,38508
VD,20200104185000,38310
VD,20200104185500,38098
VD,20200104190000,37850
VD,20200104190500,37770
VD,20200104191000,37755
VD,20200104191500,37603
VD,20200104192000,37370
VD,20200104192500,37319
VD,20200104193000,37225
VD,20200104193500,37060
VD,20200104194000,36895
VD,20200104194500,36625
VD,20200104195000,36430
VD,20200104195500,36265
VD,20200104200000,36016
VD,20200104200500,35802
VD,20200104201000,35590
VD,20200104201500,35283
VD,20200104202000,35097
VD,20200104202500,34955
VD,20200104203000,34819
VD,20200104203500,34636
VD,20200104204000,34354
VD,20200104204500,34162
VD,20200104205000,34092
VD,20200104205500,33899
VD,20200104210000,33700
VD,20200104210500,33364
VD,20200104211000,33167
VD,20200104211500,32936
VD,20200104212000,32802
VD,20200104212500,32643
VD,20200104213000,32309
VD,20200104213500,31870
VD,20200104214000,31712
VD,20200104214500,31499
VD,20200104215000,31182
VD,20200104215500,30936
VD,20200104220000,30812
VD,20200104220500,30360
VD,20200104221000,30171
VD,20200104221500,29971
VD,20200104222000,29561
VD,20200104222500,29311
VD,20200104223000,29132
VD,20200104223500,28970
VD,20200104224000,28754
VD,20200104224500,28488
VD,20200104225000,28303
VD,20200104225500,28015
VD,20200104230000,27679
VD,20200104230500,27452
VD,20200104231000,27364
VD,20200104231500,27128
VD,20200104232000,26835
VD,20200104232500,26542
VD,20200104233000,26371
VD,20200104233500,26319
VD,20200104234000,26256
VD,20200104234500,26165
VD,20200104235000,25950
VD,20200104235500,25837
VD,20200105000000,25673
VD,20200105000500,25612
VD,20200105001000,25712
VD,20200105001500,25723
VD,20200105002000,25666
