HDR,time,demand (MW)
VD,2.02001E+13,27334
VD,2.02001E+13,27388
VD,2.02001E+13,27365
VD,2.02001E+13,27339
VD,2.02001E+13,27355
VD,2.02001E+13,27368
VD,2.02001E+13,27263
VD,2.02001E+13,27007
VD,2.02001E+13,26970
VD,2.02001E+13,26881
VD,2.02001E+13,26834
VD,2.02001E+13,26774
VD,2.02001E+13,26718
VD,2.02001E+13,26630
VD,2.02001E+13,26538
VD,2.02001E+13,26397
VD,2.02001E+13,26219
VD,2.02001E+13,26083
VD,2.02001E+13,26258
VD,2.02001E+13,26391
VD,2.02001E+13,26324
VD,2.02001E+13,26212
VD,2.02001E+13,26018
VD,2.02001E+13,25860
VD,2.02001E+13,25946
VD,2.02001E+13,25948
VD,2.02001E+13,25884
VD,2.02001E+13,25856
VD,2.02001E+13,25881
VD,2.02001E+13,25820
VD,2.02001E+13,25998
VD,2.02001E+13,26163
VD,2.02001E+13,26180
VD,2.02001E+13,25955
VD,2.02001E+13,25850
VD,2.02001E+13,25751
VD,2.02001E+13,25743
VD,2.02001E+13,25687
VD,2.02001E+13,25680
VD,2.02001E+13,25617
VD,2.02001E+13,25509
VD,2.02001E+13,25549
VD,2.02001E+13,25688
VD,2.02001E+13,25714
VD,2.02001E+13,25614
VD,2.02001E+13,25476
VD,2.02001E+13,25471
VD,2.02001E+13,25456
VD,2.02001E+13,25345
VD,2.02001E+13,25272
VD,2.02001E+13,25323
VD,2.02001E+13,25346
VD,2.02001E+13,25298
VD,2.02001E+13,25276
VD,2.02001E+13,25307
VD,2.02001E+13,25219
VD,2.02001E+13,25081
VD,2.02001E+13,25085
VD,2.02001E+13,25159
VD,2.02001E+13,25150
VD,2.02001E+13,25130
VD,2.02001E+13,25133
VD,2.02001E+13,25093
VD,2.02001E+13,25030
VD,2.02001E+13,25080
VD,2.02001E+13,25205
VD,2.02001E+13,25737
VD,2.02001E+13,26065
VD,2.02001E+13,26148
VD,2.02001E+13,26155
VD,2.02001E+13,26201
VD,2.02001E+13,26247
VD,2.02001E+13,26401
VD,2.02001E+13,26531
VD,2.02001E+13,26603
VD,2.02001E+13,26666
VD,2.02001E+13,26652
VD,2.02001E+13,26489
VD,2.02001E+13,26556
VD,2.02001E+13,26591
VD,2.02001E+13,26627
VD,2.02001E+13,26728
VD,2.02001E+13,26889
VD,2.02001E+13,27029
VD,2.02001E+13,27151
VD,2.02001E+13,27383
VD,2.02001E+13,27595
VD,2.02001E+13,27744
VD,2.02001E+13,28000
VD,2.02001E+13,28231
VD,2.02001E+13,28390
VD,2.02001E+13,28748
VD,2.02001E+13,28908
VD,2.02001E+13,29041
VD,2.02001E+13,29245
VD,2.02001E+13,29425
VD,2.02001E+13,29815
VD,2.02001E+13,30034
VD,2.02001E+13,30170
VD,2.02001E+13,30256
VD,2.02001E+13,30446
VD,2.02001E+13,30669
VD,2.02001E+13,30983
VD,2.02001E+13,31241
VD,2.02001E+13,31436
VD,2.02001E+13,31689
VD,2.02001E+13,31829
VD,2.02001E+13,32031
VD,2.02001E+13,32113
VD,2.02001E+13,32211
VD,2.02001E+13,32357
VD,2.02001E+13,32479
VD,2.02001E+13,32619
VD,2.02001E+13,32681
VD,2.02001E+13,32851
VD,2.02001E+13,33037
VD,2.02001E+13,33043
VD,2.02001E+13,33115
VD,2.02001E+13,33279
VD,2.02001E+13,33394
VD,2.02001E+13,33458
VD,2.02001E+13,33521
VD,2.02001E+13,33533
VD,2.02001E+13,33538
